bank,addr,name,comment
7,E19B,Reset,RESET vector entry point
7,E3C9,NMI,NMI vector entry point
*,FFFA,vec_NMI,NMI vector address
*,FFFC,vec_RESET,RESET vector address
*,FFFE,vec_IRQ,IRQ vector address
7,E871,init_mmc1,MMC1 mapper init + bank setup
7,EA7E,init_sprites,Clear OAM buffer and set initial sprite
7,EB93,mmc1_write_ctrl,Write 5-bit value to MMC1 control ($8000-$9FFF)
7,E56E,mmc1_write_chr0,Write 5-bit value to MMC1 CHR bank 0 ($A000-$BFFF)
7,E582,mmc1_write_chr1,Write 5-bit value to MMC1 CHR bank 1 ($C000-$DFFF)
7,E596,mmc1_write_prg,Write 5-bit value to MMC1 PRG bank ($E000-$FFFF)
7,E5AA,sub_E5AA,PRG bank + mode setup
7,E9EB,sub_E9EB,Called during init with A=$85
7,E95B,wait_nmi,Wait for NMI - JSR $F24A then set $1C flags
7,E3B9,sub_E3B9,Called during level init
7,E3A7,sub_E3A7,Called during level init
7,E0EE,sub_E0EE,Called during level init
7,E06B,wait_frame,Wait for NMI / frame sync
7,E3B6,sub_E3B6,Called during game setup
7,F2BC,sub_F2BC,Called during game setup
7,E08E,sub_E08E,Called during game loop setup
7,E2C6,clear_game_state,Clear zero page $20-$35 and RAM areas $0600-$07FF
7,E8A8,sub_E8A8,Called during game loop
7,E898,sub_E898,Called with A=0 during game loop
7,F73D,game_frame_proc,Frame sync check - JSR $F743 then JMP wait_nmi
7,F743,frame_check,Check NMI flag and rendering state
7,E110,dispatch_offset5,Add 5 to dispatch index $3A then fall into dispatch
7,E11A,bank6_dispatch,Bank-switch to bank 6 and call via jump table at $8000+$3A*2
7,E16A,dispatch_read_jmp,Read ptr from $8000+Y and JMP through ($3E)
7,E17B,inline_dispatch,Read dispatch params from inline data after JSR
7,E290,game_loop,Main game processing loop (while $80 != 0)
7,E97D,indexed_jmp,A=index into inline addr table following JSR then JMP
7,E992,queue_sound,Queue sound: A=ID ($FF=silence $00=nop else enqueue to $03E7). 84 call sites
7,E0EC,sub_E0EC,Called when game state $80 == 0
7,EEB3,sub_EEB3,Called in wait loop at $E2B8
7,EEEE,nmi_ppu_update,PPU VRAM update driven by $AD flags
7,EF73,sub_EF73,VRAM address calculation helper
7,ED43,chr_bank_table,CHR bank pairs (chr0 chr1) indexed by $38*2
7,E5B6,sub_E5B6,Jump target from $EEEE when $AD bit 7 clear
7,E4D0,nmi_read_controller,Controller read with debounce
7,E548,nmi_bank0_tramp,Switch to bank 0 JSR $8000 then restore
7,F24A,sub_F24A,Called from wait_nmi
0,809E,sound_main,Sound engine main - save state process audio restore
0,883F,play_sound,Play sound effect from A register
0,85A7,audio_process,Audio frame processing
0,8000,bank0_entry,JMP $809E - sound engine entry
6,8000,game_jtable,Main game dispatch jump table (32 entries)
6,8041,mode_dispatch,Two-level dispatch: $19 selects sub-mode via $E97D
6,8046,mode_table,Inline addr table for $19 dispatch (12 entries)
6,8068,mode0_overworld,Overworld action gameplay loop
